,perc_products_sent_one_bc,perc_products_sent_several_bc,perc_products_not_catch,perc_max_prod_catch_from_other_bc,total_products
0,3472,1027,2522,0,7021.0
0,3472,1027,2522,0.005,7021.0
0,3558,1033,2430,0.03,7021.0
0,3595,1059,2367,0.05,7021.0
0,3679,1135,2207,0.1,7021.0
0,3864,1316,1841,0.2,7021.0
0,4060,1416,1545,0.3,7021.0
0,3920,1720,1381,0.4,7021.0
0,3748,2034,1239,0.5,7021.0
0,3711,2162,1148,0.6,7021.0
0,3554,2431,1036,0.8,7021.0
0,3219,2884,918,1,7021.0
